,ROI1 number,region1,ROI2 number,region2
1126,17,Right Middle Frontal Gyrus,62,Left Frontal Pole
1127,95,Left Parahippocampal Gyrus; anterior division,11,Right Hippocampus
1128,32,Right Supramarginal Gyrus; anterior division,22,Right Superior Temporal Gyrus; anterior division
1129,6,Left Accumbens,3,Left Pallidum
1130,66,Left Inferior Frontal Gyrus; pars triangularis,53,Right Occipital Fusiform Gyrus
1131,64,Left Superior Frontal Gyrus,8,Right Caudate
1132,55,Right Central Opercular Cortex,14,Right Frontal Pole
1133,64,Left Superior Frontal Gyrus,33,Right Supramarginal Gyrus; posterior division
1134,103,Left Central Opercular Cortex,28,Right Inferior Temporal Gyrus; posterior division
1135,103,Left Central Opercular Cortex,30,Right Postcentral Gyrus
1136,103,Left Central Opercular Cortex,100,Left Temporal Occipital Fusiform Cortex
1137,64,Left Superior Frontal Gyrus,16,Right Superior Frontal Gyrus
1138,17,Right Middle Frontal Gyrus,98,Left Temporal Fusiform Cortex; anterior division
1139,55,Right Central Opercular Cortex,16,Right Superior Frontal Gyrus
1140,55,Right Central Opercular Cortex,17,Right Middle Frontal Gyrus
1141,38,Right Frontal Medial Cortex,84,Left Lateral Occipital Cortex; inferior division
1142,13,Right Accumbens,61,Right Occipital Pole
1143,52,Right Temporal Occipital Fusiform Cortex,54,Right Frontal Operculum Cortex
1144,75,Left Inferior Temporal Gyrus; anterior division,103,Left Central Opercular Cortex
1145,53,Right Occipital Fusiform Gyrus,55,Right Central Opercular Cortex
1146,55,Right Central Opercular Cortex,32,Right Supramarginal Gyrus; anterior division
1147,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),5,Left Amygdala
1148,81,Left Supramarginal Gyrus; posterior division,44,Right Precuneous Cortex
1149,105,Left Planum Polare,30,Right Postcentral Gyrus
1150,40,Right Subcallosal Cortex,51,Right Temporal Fusiform Cortex; posterior division
1151,55,Right Central Opercular Cortex,100,Left Temporal Occipital Fusiform Cortex
1152,13,Right Accumbens,91,Left Cingulate Gyrus; posterior division
1153,92,Left Precuneous Cortex,18,Right Inferior Frontal Gyrus; pars triangularis
1154,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),19,Right Inferior Frontal Gyrus; pars opercularis
1155,6,Left Accumbens,65,Left Middle Frontal Gyrus
1156,86,Left Frontal Medial Cortex,78,Left Postcentral Gyrus
1157,14,Right Frontal Pole,14,Right Frontal Pole
1158,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),20,Right Precentral Gyrus
1159,55,Right Central Opercular Cortex,78,Left Postcentral Gyrus
1160,95,Left Parahippocampal Gyrus; anterior division,0,Left Thalamus
1161,3,Left Pallidum,51,Right Temporal Fusiform Cortex; posterior division
1162,57,Right Planum Polare,47,Right Parahippocampal Gyrus; anterior division
1163,57,Right Planum Polare,10,Right Pallidum
1164,53,Right Occipital Fusiform Gyrus,31,Right Superior Parietal Lobule
1165,78,Left Postcentral Gyrus,44,Right Precuneous Cortex
1166,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),95,Left Parahippocampal Gyrus; anterior division
1167,78,Left Postcentral Gyrus,76,Left Inferior Temporal Gyrus; posterior division
1168,103,Left Central Opercular Cortex,7,Right Thalamus
1169,17,Right Middle Frontal Gyrus,15,Right Insular Cortex
1170,104,Left Parietal Operculum Cortex,50,Right Temporal Fusiform Cortex; anterior division
1171,77,Left Inferior Temporal Gyrus; temporooccipital part,95,Left Parahippocampal Gyrus; anterior division
1172,16,Right Superior Frontal Gyrus,94,Left Frontal Orbital Cortex
1173,40,Right Subcallosal Cortex,77,Left Inferior Temporal Gyrus; temporooccipital part
1174,40,Right Subcallosal Cortex,84,Left Lateral Occipital Cortex; inferior division
1175,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),32,Right Supramarginal Gyrus; anterior division
1176,103,Left Central Opercular Cortex,62,Left Frontal Pole
1177,4,Left Hippocampus,94,Left Frontal Orbital Cortex
1178,94,Left Frontal Orbital Cortex,90,Left Cingulate Gyrus; anterior division
1179,16,Right Superior Frontal Gyrus,32,Right Supramarginal Gyrus; anterior division
1180,4,Left Hippocampus,96,Left Parahippocampal Gyrus; posterior division
1181,21,Right Temporal Pole,95,Left Parahippocampal Gyrus; anterior division
1182,54,Right Frontal Operculum Cortex,54,Right Frontal Operculum Cortex
1183,11,Right Hippocampus,22,Right Superior Temporal Gyrus; anterior division
1184,101,Left Occipital Fusiform Gyrus,105,Left Planum Polare
1185,11,Right Hippocampus,95,Left Parahippocampal Gyrus; anterior division
1186,103,Left Central Opercular Cortex,9,Right Putamen
1187,105,Left Planum Polare,10,Right Pallidum
1188,89,Left Paracingulate Gyrus,73,Left Middle Temporal Gyrus; posterior division
1189,101,Left Occipital Fusiform Gyrus,29,Right Inferior Temporal Gyrus; temporooccipital part
1190,90,Left Cingulate Gyrus; anterior division,12,Right Amygdala
1191,3,Left Pallidum,69,Left Temporal Pole
1192,11,Right Hippocampus,97,Left Lingual Gyrus
1193,53,Right Occipital Fusiform Gyrus,105,Left Planum Polare
1194,40,Right Subcallosal Cortex,27,Right Inferior Temporal Gyrus; anterior division
1195,25,Right Middle Temporal Gyrus; posterior division,7,Right Thalamus
1196,36,Right Lateral Occipital Cortex; inferior division,62,Left Frontal Pole
1197,46,Right Frontal Orbital Cortex,1,Left Caudate
1198,66,Left Inferior Frontal Gyrus; pars triangularis,88,Left Subcallosal Cortex
1199,59,Right Planum Temporale,97,Left Lingual Gyrus
1200,62,Left Frontal Pole,53,Right Occipital Fusiform Gyrus
1201,29,Right Inferior Temporal Gyrus; temporooccipital part,18,Right Inferior Frontal Gyrus; pars triangularis
1202,29,Right Inferior Temporal Gyrus; temporooccipital part,10,Right Pallidum
1203,105,Left Planum Polare,90,Left Cingulate Gyrus; anterior division
1204,27,Right Inferior Temporal Gyrus; anterior division,10,Right Pallidum
1205,33,Right Supramarginal Gyrus; posterior division,55,Right Central Opercular Cortex
1206,33,Right Supramarginal Gyrus; posterior division,21,Right Temporal Pole
1207,98,Left Temporal Fusiform Cortex; anterior division,54,Right Frontal Operculum Cortex
1208,70,Left Superior Temporal Gyrus; anterior division,91,Left Cingulate Gyrus; posterior division
1209,59,Right Planum Temporale,27,Right Inferior Temporal Gyrus; anterior division
1210,106,Left Heschl's Gyrus (includes H1 and H2),109,Left Occipital Pole
1211,59,Right Planum Temporale,108,Left Supracalcarine Cortex
1212,66,Left Inferior Frontal Gyrus; pars triangularis,8,Right Caudate
1213,59,Right Planum Temporale,54,Right Frontal Operculum Cortex
1214,46,Right Frontal Orbital Cortex,95,Left Parahippocampal Gyrus; anterior division
1215,28,Right Inferior Temporal Gyrus; posterior division,33,Right Supramarginal Gyrus; posterior division
1216,69,Left Temporal Pole,60,Right Supracalcarine Cortex
1217,49,Right Lingual Gyrus,29,Right Inferior Temporal Gyrus; temporooccipital part
1218,0,Left Thalamus,59,Right Planum Temporale
1219,68,Left Precentral Gyrus,42,Right Cingulate Gyrus; anterior division
1220,43,Right Cingulate Gyrus; posterior division,32,Right Supramarginal Gyrus; anterior division
1221,0,Left Thalamus,53,Right Occipital Fusiform Gyrus
1222,37,Right Intracalcarine Cortex,95,Left Parahippocampal Gyrus; anterior division
1223,75,Left Inferior Temporal Gyrus; anterior division,45,Right Cuneal Cortex
1224,100,Left Temporal Occipital Fusiform Cortex,3,Left Pallidum
1225,35,Right Lateral Occipital Cortex; superior division,23,Right Superior Temporal Gyrus; posterior division
1226,8,Right Caudate,15,Right Insular Cortex
1227,0,Left Thalamus,18,Right Inferior Frontal Gyrus; pars triangularis
1228,43,Right Cingulate Gyrus; posterior division,3,Left Pallidum
1229,74,Left Middle Temporal Gyrus; temporooccipital part,83,Left Lateral Occipital Cortex; superior division
1230,74,Left Middle Temporal Gyrus; temporooccipital part,68,Left Precentral Gyrus
1231,74,Left Middle Temporal Gyrus; temporooccipital part,51,Right Temporal Fusiform Cortex; posterior division
1232,64,Left Superior Frontal Gyrus,91,Left Cingulate Gyrus; posterior division
1233,29,Right Inferior Temporal Gyrus; temporooccipital part,35,Right Lateral Occipital Cortex; superior division
1234,61,Right Occipital Pole,95,Left Parahippocampal Gyrus; anterior division
1235,60,Right Supracalcarine Cortex,48,Right Parahippocampal Gyrus; posterior division
1236,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),24,Right Middle Temporal Gyrus; anterior division
1237,53,Right Occipital Fusiform Gyrus,17,Right Middle Frontal Gyrus
1238,51,Right Temporal Fusiform Cortex; posterior division,97,Left Lingual Gyrus
1239,95,Left Parahippocampal Gyrus; anterior division,83,Left Lateral Occipital Cortex; superior division
1240,51,Right Temporal Fusiform Cortex; posterior division,52,Right Temporal Occipital Fusiform Cortex
1241,31,Right Superior Parietal Lobule,21,Right Temporal Pole
1242,104,Left Parietal Operculum Cortex,15,Right Insular Cortex
1243,43,Right Cingulate Gyrus; posterior division,18,Right Inferior Frontal Gyrus; pars triangularis
1244,20,Right Precentral Gyrus,91,Left Cingulate Gyrus; posterior division
1245,55,Right Central Opercular Cortex,69,Left Temporal Pole
1246,31,Right Superior Parietal Lobule,32,Right Supramarginal Gyrus; anterior division
1247,31,Right Superior Parietal Lobule,77,Left Inferior Temporal Gyrus; temporooccipital part
1248,66,Left Inferior Frontal Gyrus; pars triangularis,13,Right Accumbens
1249,5,Left Amygdala,44,Right Precuneous Cortex
1250,84,Left Lateral Occipital Cortex; inferior division,44,Right Precuneous Cortex
1251,66,Left Inferior Frontal Gyrus; pars triangularis,30,Right Postcentral Gyrus
1252,42,Right Cingulate Gyrus; anterior division,78,Left Postcentral Gyrus
1253,82,Left Angular Gyrus,82,Left Angular Gyrus
1254,95,Left Parahippocampal Gyrus; anterior division,40,Right Subcallosal Cortex
1255,49,Right Lingual Gyrus,42,Right Cingulate Gyrus; anterior division
1256,85,Left Intracalcarine Cortex,66,Left Inferior Frontal Gyrus; pars triangularis
1257,55,Right Central Opercular Cortex,54,Right Frontal Operculum Cortex
1258,83,Left Lateral Occipital Cortex; superior division,44,Right Precuneous Cortex
1259,106,Left Heschl's Gyrus (includes H1 and H2),106,Left Heschl's Gyrus (includes H1 and H2)
1260,40,Right Subcallosal Cortex,6,Left Accumbens
1261,66,Left Inferior Frontal Gyrus; pars triangularis,91,Left Cingulate Gyrus; posterior division
1262,40,Right Subcallosal Cortex,30,Right Postcentral Gyrus
1263,55,Right Central Opercular Cortex,96,Left Parahippocampal Gyrus; posterior division
1264,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),62,Left Frontal Pole
1265,104,Left Parietal Operculum Cortex,5,Left Amygdala
1266,59,Right Planum Temporale,103,Left Central Opercular Cortex
1267,2,Left Putamen,12,Right Amygdala
1268,3,Left Pallidum,44,Right Precuneous Cortex
1269,31,Right Superior Parietal Lobule,88,Left Subcallosal Cortex
1270,99,Left Temporal Fusiform Cortex; posterior division,33,Right Supramarginal Gyrus; posterior division
1271,33,Right Supramarginal Gyrus; posterior division,108,Left Supracalcarine Cortex
1272,16,Right Superior Frontal Gyrus,12,Right Amygdala
1273,94,Left Frontal Orbital Cortex,24,Right Middle Temporal Gyrus; anterior division
1274,89,Left Paracingulate Gyrus,61,Right Occipital Pole
1275,34,Right Angular Gyrus,34,Right Angular Gyrus
1276,89,Left Paracingulate Gyrus,81,Left Supramarginal Gyrus; posterior division
1277,34,Right Angular Gyrus,42,Right Cingulate Gyrus; anterior division
1278,62,Left Frontal Pole,33,Right Supramarginal Gyrus; posterior division
1279,34,Right Angular Gyrus,57,Right Planum Polare
1280,41,Right Paracingulate Gyrus,45,Right Cuneal Cortex
1281,0,Left Thalamus,33,Right Supramarginal Gyrus; posterior division
1282,99,Left Temporal Fusiform Cortex; posterior division,91,Left Cingulate Gyrus; posterior division
1283,53,Right Occipital Fusiform Gyrus,74,Left Middle Temporal Gyrus; temporooccipital part
1284,14,Right Frontal Pole,65,Left Middle Frontal Gyrus
1285,91,Left Cingulate Gyrus; posterior division,91,Left Cingulate Gyrus; posterior division
1286,0,Left Thalamus,23,Right Superior Temporal Gyrus; posterior division
1287,43,Right Cingulate Gyrus; posterior division,104,Left Parietal Operculum Cortex
1288,13,Right Accumbens,103,Left Central Opercular Cortex
1289,35,Right Lateral Occipital Cortex; superior division,28,Right Inferior Temporal Gyrus; posterior division
1290,35,Right Lateral Occipital Cortex; superior division,37,Right Intracalcarine Cortex
1291,40,Right Subcallosal Cortex,83,Left Lateral Occipital Cortex; superior division
1292,43,Right Cingulate Gyrus; posterior division,67,Left Inferior Frontal Gyrus; pars opercularis
1293,6,Left Accumbens,96,Left Parahippocampal Gyrus; posterior division
1294,16,Right Superior Frontal Gyrus,106,Left Heschl's Gyrus (includes H1 and H2)
1295,98,Left Temporal Fusiform Cortex; anterior division,106,Left Heschl's Gyrus (includes H1 and H2)
1296,32,Right Supramarginal Gyrus; anterior division,8,Right Caudate
1297,46,Right Frontal Orbital Cortex,96,Left Parahippocampal Gyrus; posterior division
1298,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),64,Left Superior Frontal Gyrus
1299,64,Left Superior Frontal Gyrus,18,Right Inferior Frontal Gyrus; pars triangularis
1300,103,Left Central Opercular Cortex,22,Right Superior Temporal Gyrus; anterior division
1301,46,Right Frontal Orbital Cortex,91,Left Cingulate Gyrus; posterior division
1302,104,Left Parietal Operculum Cortex,16,Right Superior Frontal Gyrus
1303,50,Right Temporal Fusiform Cortex; anterior division,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1304,32,Right Supramarginal Gyrus; anterior division,49,Right Lingual Gyrus
1305,6,Left Accumbens,1,Left Caudate
1306,94,Left Frontal Orbital Cortex,62,Left Frontal Pole
1307,32,Right Supramarginal Gyrus; anterior division,52,Right Temporal Occipital Fusiform Cortex
1308,63,Left Insular Cortex,91,Left Cingulate Gyrus; posterior division
1309,8,Right Caudate,105,Left Planum Polare
1310,94,Left Frontal Orbital Cortex,53,Right Occipital Fusiform Gyrus
1311,33,Right Supramarginal Gyrus; posterior division,9,Right Putamen
1312,6,Left Accumbens,13,Right Accumbens
1313,51,Right Temporal Fusiform Cortex; posterior division,27,Right Inferior Temporal Gyrus; anterior division
1314,51,Right Temporal Fusiform Cortex; posterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
1315,55,Right Central Opercular Cortex,6,Left Accumbens
1316,33,Right Supramarginal Gyrus; posterior division,49,Right Lingual Gyrus
1317,94,Left Frontal Orbital Cortex,66,Left Inferior Frontal Gyrus; pars triangularis
1318,5,Left Amygdala,35,Right Lateral Occipital Cortex; superior division
1319,8,Right Caudate,3,Left Pallidum
1320,105,Left Planum Polare,6,Left Accumbens
1321,104,Left Parietal Operculum Cortex,108,Left Supracalcarine Cortex
1322,69,Left Temporal Pole,46,Right Frontal Orbital Cortex
1323,27,Right Inferior Temporal Gyrus; anterior division,13,Right Accumbens
1324,96,Left Parahippocampal Gyrus; posterior division,3,Left Pallidum
1325,104,Left Parietal Operculum Cortex,103,Left Central Opercular Cortex
1326,38,Right Frontal Medial Cortex,18,Right Inferior Frontal Gyrus; pars triangularis
1327,106,Left Heschl's Gyrus (includes H1 and H2),45,Right Cuneal Cortex
1328,4,Left Hippocampus,91,Left Cingulate Gyrus; posterior division
1329,101,Left Occipital Fusiform Gyrus,33,Right Supramarginal Gyrus; posterior division
1330,77,Left Inferior Temporal Gyrus; temporooccipital part,48,Right Parahippocampal Gyrus; posterior division
1331,36,Right Lateral Occipital Cortex; inferior division,107,Left Planum Temporale
1332,59,Right Planum Temporale,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1333,59,Right Planum Temporale,61,Right Occipital Pole
1334,70,Left Superior Temporal Gyrus; anterior division,3,Left Pallidum
1335,4,Left Hippocampus,22,Right Superior Temporal Gyrus; anterior division
1336,59,Right Planum Temporale,45,Right Cuneal Cortex
1337,27,Right Inferior Temporal Gyrus; anterior division,97,Left Lingual Gyrus
1338,4,Left Hippocampus,24,Right Middle Temporal Gyrus; anterior division
1339,67,Left Inferior Frontal Gyrus; pars opercularis,62,Left Frontal Pole
1340,78,Left Postcentral Gyrus,80,Left Supramarginal Gyrus; anterior division
1341,69,Left Temporal Pole,32,Right Supramarginal Gyrus; anterior division
1342,28,Right Inferior Temporal Gyrus; posterior division,44,Right Precuneous Cortex
1343,10,Right Pallidum,8,Right Caudate
1344,57,Right Planum Polare,63,Left Insular Cortex
1345,59,Right Planum Temporale,51,Right Temporal Fusiform Cortex; posterior division
1346,28,Right Inferior Temporal Gyrus; posterior division,12,Right Amygdala
1347,49,Right Lingual Gyrus,95,Left Parahippocampal Gyrus; anterior division
1348,58,Right Heschl's Gyrus (includes H1 and H2),66,Left Inferior Frontal Gyrus; pars triangularis
1349,49,Right Lingual Gyrus,89,Left Paracingulate Gyrus
1350,29,Right Inferior Temporal Gyrus; temporooccipital part,27,Right Inferior Temporal Gyrus; anterior division
1351,37,Right Intracalcarine Cortex,105,Left Planum Polare
1352,106,Left Heschl's Gyrus (includes H1 and H2),95,Left Parahippocampal Gyrus; anterior division
1353,52,Right Temporal Occipital Fusiform Cortex,8,Right Caudate
1354,25,Right Middle Temporal Gyrus; posterior division,0,Left Thalamus
1355,80,Left Supramarginal Gyrus; anterior division,80,Left Supramarginal Gyrus; anterior division
1356,21,Right Temporal Pole,33,Right Supramarginal Gyrus; posterior division
1357,105,Left Planum Polare,52,Right Temporal Occipital Fusiform Cortex
1358,67,Left Inferior Frontal Gyrus; pars opercularis,67,Left Inferior Frontal Gyrus; pars opercularis
1359,38,Right Frontal Medial Cortex,82,Left Angular Gyrus
1360,29,Right Inferior Temporal Gyrus; temporooccipital part,23,Right Superior Temporal Gyrus; posterior division
1361,96,Left Parahippocampal Gyrus; posterior division,63,Left Insular Cortex
1362,37,Right Intracalcarine Cortex,71,Left Superior Temporal Gyrus; posterior division
1363,59,Right Planum Temporale,73,Left Middle Temporal Gyrus; posterior division
1364,76,Left Inferior Temporal Gyrus; posterior division,48,Right Parahippocampal Gyrus; posterior division
1365,57,Right Planum Polare,6,Left Accumbens
1366,38,Right Frontal Medial Cortex,46,Right Frontal Orbital Cortex
1367,76,Left Inferior Temporal Gyrus; posterior division,69,Left Temporal Pole
1368,67,Left Inferior Frontal Gyrus; pars opercularis,91,Left Cingulate Gyrus; posterior division
1369,98,Left Temporal Fusiform Cortex; anterior division,12,Right Amygdala
1370,29,Right Inferior Temporal Gyrus; temporooccipital part,46,Right Frontal Orbital Cortex
1371,101,Left Occipital Fusiform Gyrus,17,Right Middle Frontal Gyrus
1372,38,Right Frontal Medial Cortex,6,Left Accumbens
1373,37,Right Intracalcarine Cortex,57,Right Planum Polare
1374,78,Left Postcentral Gyrus,2,Left Putamen
1375,53,Right Occipital Fusiform Gyrus,23,Right Superior Temporal Gyrus; posterior division
1376,16,Right Superior Frontal Gyrus,61,Right Occipital Pole
1377,98,Left Temporal Fusiform Cortex; anterior division,104,Left Parietal Operculum Cortex
1378,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),30,Right Postcentral Gyrus
1379,96,Left Parahippocampal Gyrus; posterior division,54,Right Frontal Operculum Cortex
1380,8,Right Caudate,102,Left Frontal Operculum Cortex
1381,103,Left Central Opercular Cortex,31,Right Superior Parietal Lobule
1382,4,Left Hippocampus,30,Right Postcentral Gyrus
1383,35,Right Lateral Occipital Cortex; superior division,16,Right Superior Frontal Gyrus
1384,43,Right Cingulate Gyrus; posterior division,45,Right Cuneal Cortex
1385,73,Left Middle Temporal Gyrus; posterior division,88,Left Subcallosal Cortex
1386,62,Left Frontal Pole,32,Right Supramarginal Gyrus; anterior division
1387,77,Left Inferior Temporal Gyrus; temporooccipital part,47,Right Parahippocampal Gyrus; anterior division
1388,89,Left Paracingulate Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
1389,49,Right Lingual Gyrus,62,Left Frontal Pole
1390,27,Right Inferior Temporal Gyrus; anterior division,100,Left Temporal Occipital Fusiform Cortex
1391,38,Right Frontal Medial Cortex,59,Right Planum Temporale
1392,55,Right Central Opercular Cortex,52,Right Temporal Occipital Fusiform Cortex
1393,20,Right Precentral Gyrus,56,Right Parietal Operculum Cortex
1394,78,Left Postcentral Gyrus,90,Left Cingulate Gyrus; anterior division
1395,95,Left Parahippocampal Gyrus; anterior division,4,Left Hippocampus
1396,68,Left Precentral Gyrus,65,Left Middle Frontal Gyrus
1397,79,Left Superior Parietal Lobule,64,Left Superior Frontal Gyrus
1398,73,Left Middle Temporal Gyrus; posterior division,24,Right Middle Temporal Gyrus; anterior division
1399,29,Right Inferior Temporal Gyrus; temporooccipital part,30,Right Postcentral Gyrus
1400,49,Right Lingual Gyrus,35,Right Lateral Occipital Cortex; superior division
1401,109,Left Occipital Pole,44,Right Precuneous Cortex
1402,62,Left Frontal Pole,35,Right Lateral Occipital Cortex; superior division
1403,83,Left Lateral Occipital Cortex; superior division,88,Left Subcallosal Cortex
1404,83,Left Lateral Occipital Cortex; superior division,78,Left Postcentral Gyrus
1405,73,Left Middle Temporal Gyrus; posterior division,78,Left Postcentral Gyrus
1406,41,Right Paracingulate Gyrus,9,Right Putamen
1407,79,Left Superior Parietal Lobule,108,Left Supracalcarine Cortex
1408,89,Left Paracingulate Gyrus,44,Right Precuneous Cortex
1409,16,Right Superior Frontal Gyrus,3,Left Pallidum
1410,59,Right Planum Temporale,66,Left Inferior Frontal Gyrus; pars triangularis
1411,50,Right Temporal Fusiform Cortex; anterior division,37,Right Intracalcarine Cortex
1412,0,Left Thalamus,76,Left Inferior Temporal Gyrus; posterior division
1413,0,Left Thalamus,78,Left Postcentral Gyrus
1414,85,Left Intracalcarine Cortex,18,Right Inferior Frontal Gyrus; pars triangularis
1415,57,Right Planum Polare,27,Right Inferior Temporal Gyrus; anterior division
1416,105,Left Planum Polare,80,Left Supramarginal Gyrus; anterior division
1417,33,Right Supramarginal Gyrus; posterior division,106,Left Heschl's Gyrus (includes H1 and H2)
1418,109,Left Occipital Pole,17,Right Middle Frontal Gyrus
1419,33,Right Supramarginal Gyrus; posterior division,90,Left Cingulate Gyrus; anterior division
1420,0,Left Thalamus,97,Left Lingual Gyrus
1421,40,Right Subcallosal Cortex,103,Left Central Opercular Cortex
1422,109,Left Occipital Pole,33,Right Supramarginal Gyrus; posterior division
1423,80,Left Supramarginal Gyrus; anterior division,8,Right Caudate
1424,55,Right Central Opercular Cortex,102,Left Frontal Operculum Cortex
1425,0,Left Thalamus,99,Left Temporal Fusiform Cortex; posterior division
1426,57,Right Planum Polare,100,Left Temporal Occipital Fusiform Cortex
1427,75,Left Inferior Temporal Gyrus; anterior division,36,Right Lateral Occipital Cortex; inferior division
1428,59,Right Planum Temporale,76,Left Inferior Temporal Gyrus; posterior division
1429,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),6,Left Accumbens
1430,61,Right Occipital Pole,18,Right Inferior Frontal Gyrus; pars triangularis
1431,75,Left Inferior Temporal Gyrus; anterior division,22,Right Superior Temporal Gyrus; anterior division
1432,20,Right Precentral Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
1433,35,Right Lateral Occipital Cortex; superior division,21,Right Temporal Pole
1434,74,Left Middle Temporal Gyrus; temporooccipital part,88,Left Subcallosal Cortex
1435,66,Left Inferior Frontal Gyrus; pars triangularis,106,Left Heschl's Gyrus (includes H1 and H2)
1436,0,Left Thalamus,14,Right Frontal Pole
1437,92,Left Precuneous Cortex,51,Right Temporal Fusiform Cortex; posterior division
1438,0,Left Thalamus,15,Right Insular Cortex
1439,90,Left Cingulate Gyrus; anterior division,91,Left Cingulate Gyrus; posterior division
1440,76,Left Inferior Temporal Gyrus; posterior division,28,Right Inferior Temporal Gyrus; posterior division
1441,3,Left Pallidum,54,Right Frontal Operculum Cortex
1442,74,Left Middle Temporal Gyrus; temporooccipital part,67,Left Inferior Frontal Gyrus; pars opercularis
1443,0,Left Thalamus,24,Right Middle Temporal Gyrus; anterior division
1444,61,Right Occipital Pole,66,Left Inferior Frontal Gyrus; pars triangularis
1445,14,Right Frontal Pole,63,Left Insular Cortex
1446,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),34,Right Angular Gyrus
1447,58,Right Heschl's Gyrus (includes H1 and H2),44,Right Precuneous Cortex
1448,14,Right Frontal Pole,78,Left Postcentral Gyrus
1449,74,Left Middle Temporal Gyrus; temporooccipital part,41,Right Paracingulate Gyrus
1450,5,Left Amygdala,17,Right Middle Frontal Gyrus
1451,105,Left Planum Polare,61,Right Occipital Pole
1452,66,Left Inferior Frontal Gyrus; pars triangularis,97,Left Lingual Gyrus
1453,74,Left Middle Temporal Gyrus; temporooccipital part,14,Right Frontal Pole
1454,61,Right Occipital Pole,53,Right Occipital Fusiform Gyrus
1455,66,Left Inferior Frontal Gyrus; pars triangularis,64,Left Superior Frontal Gyrus
1456,33,Right Supramarginal Gyrus; posterior division,63,Left Insular Cortex
1457,62,Left Frontal Pole,77,Left Inferior Temporal Gyrus; temporooccipital part
1458,17,Right Middle Frontal Gyrus,33,Right Supramarginal Gyrus; posterior division
1459,86,Left Frontal Medial Cortex,86,Left Frontal Medial Cortex
1460,103,Left Central Opercular Cortex,26,Right Middle Temporal Gyrus; temporooccipital part
1461,4,Left Hippocampus,74,Left Middle Temporal Gyrus; temporooccipital part
1462,49,Right Lingual Gyrus,65,Left Middle Frontal Gyrus
1463,38,Right Frontal Medial Cortex,34,Right Angular Gyrus
1464,69,Left Temporal Pole,3,Left Pallidum
1465,69,Left Temporal Pole,89,Left Paracingulate Gyrus
1466,64,Left Superior Frontal Gyrus,31,Right Superior Parietal Lobule
1467,64,Left Superior Frontal Gyrus,32,Right Supramarginal Gyrus; anterior division
1468,44,Right Precuneous Cortex,44,Right Precuneous Cortex
1469,66,Left Inferior Frontal Gyrus; pars triangularis,2,Left Putamen
1470,77,Left Inferior Temporal Gyrus; temporooccipital part,97,Left Lingual Gyrus
1471,45,Right Cuneal Cortex,45,Right Cuneal Cortex
1472,36,Right Lateral Occipital Cortex; inferior division,30,Right Postcentral Gyrus
1473,78,Left Postcentral Gyrus,57,Right Planum Polare
1474,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),29,Right Inferior Temporal Gyrus; temporooccipital part
1475,17,Right Middle Frontal Gyrus,85,Left Intracalcarine Cortex
1476,17,Right Middle Frontal Gyrus,86,Left Frontal Medial Cortex
1477,49,Right Lingual Gyrus,40,Right Subcallosal Cortex
1478,57,Right Planum Polare,56,Right Parietal Operculum Cortex
1479,36,Right Lateral Occipital Cortex; inferior division,28,Right Inferior Temporal Gyrus; posterior division
1480,31,Right Superior Parietal Lobule,79,Left Superior Parietal Lobule
1481,59,Right Planum Temporale,53,Right Occipital Fusiform Gyrus
1482,50,Right Temporal Fusiform Cortex; anterior division,55,Right Central Opercular Cortex
1483,49,Right Lingual Gyrus,18,Right Inferior Frontal Gyrus; pars triangularis
1484,78,Left Postcentral Gyrus,8,Right Caudate
1485,78,Left Postcentral Gyrus,94,Left Frontal Orbital Cortex
1486,16,Right Superior Frontal Gyrus,62,Left Frontal Pole
1487,66,Left Inferior Frontal Gyrus; pars triangularis,41,Right Paracingulate Gyrus
1488,55,Right Central Opercular Cortex,34,Right Angular Gyrus
1489,36,Right Lateral Occipital Cortex; inferior division,19,Right Inferior Frontal Gyrus; pars opercularis
1490,16,Right Superior Frontal Gyrus,73,Left Middle Temporal Gyrus; posterior division
1491,85,Left Intracalcarine Cortex,40,Right Subcallosal Cortex
1492,49,Right Lingual Gyrus,41,Right Paracingulate Gyrus
1493,27,Right Inferior Temporal Gyrus; anterior division,5,Left Amygdala
1494,5,Left Amygdala,34,Right Angular Gyrus
